username,cursornum,primary_id,cursor_id,x,y,rotated_angle,time
ogapy,5,0,3,0,0,0,0
ogapy,5,1,4,0,0,0.7853982,0
ogapy,5,2,2,0,0,2.356194,0
ogapy,5,3,1,0,0,3.926991,0
ogapy,5,4,0,0,0,5.497787,0
ogapy,5,0,3,-4.424676,-4.485283,0,0
ogapy,5,1,4,-4.704881,0.4127426,0.7853982,0
ogapy,5,2,2,-2.761791,3.007842,2.356194,0
ogapy,5,3,1,-0.8182998,4.260026,3.926991,0
ogapy,5,4,0,2.994087,-2.071106,5.497787,0
ogapy,5,0,3,-4.424676,-4.485283,0,0.02000046
ogapy,5,1,4,-4.704881,0.4127426,0.7853982,0.02000046
ogapy,5,2,2,-2.761791,3.007842,2.356194,0.02000046
ogapy,5,3,1,-0.8182998,4.260026,3.926991,0.02000046
ogapy,5,4,0,2.994087,-2.071106,5.497787,0.02000046
ogapy,5,0,3,-4.424676,-4.485283,0,0.02450562
ogapy,5,1,4,-4.704881,0.4127426,0.7853982,0.02450562
ogapy,5,2,2,-2.761791,3.007842,2.356194,0.02450562
ogapy,5,3,1,-0.8182998,4.260026,3.926991,0.02450562
ogapy,5,4,0,2.994087,-2.071106,5.497787,0.02450562
ogapy,5,0,3,-4.424676,-4.485283,0,0.03215027
ogapy,5,1,4,-4.704881,0.4127426,0.7853982,0.03215027
ogapy,5,2,2,-2.761791,3.007842,2.356194,0.03215027
ogapy,5,3,1,-0.8182998,4.260026,3.926991,0.03215027
ogapy,5,4,0,2.994087,-2.071106,5.497787,0.03215027
ogapy,5,0,3,-4.424676,-4.485283,0,0.03657913
ogapy,5,1,4,-4.704881,0.4127426,0.7853982,0.03657913
ogapy,5,2,2,-2.761791,3.007842,2.356194,0.03657913
ogapy,5,3,1,-0.8182998,4.260026,3.926991,0.03657913
ogapy,5,4,0,2.994087,-2.071106,5.497787,0.03657913
ogapy,5,0,3,-4.424676,-4.485283,0,0.06890869
ogapy,5,1,4,-4.704881,0.4127426,0.7853982,0.06890869
ogapy,5,2,2,-2.761791,3.007842,2.356194,0.06890869
ogapy,5,3,1,-0.8182998,4.260026,3.926991,0.06890869
ogapy,5,4,0,2.994087,-2.071106,5.497787,0.06890869
ogapy,5,0,3,-4.424676,-4.485283,0,0.08078766
ogapy,5,1,4,-4.704881,0.4127426,0.7853982,0.08078766
ogapy,5,2,2,-2.761791,3.007842,2.356194,0.08078766
ogapy,5,3,1,-0.8182998,4.260026,3.926991,0.08078766
ogapy,5,4,0,2.994087,-2.071106,5.497787,0.08078766
ogapy,5,0,3,-4.424676,-4.485283,0,0.08850098
ogapy,5,1,4,-4.704881,0.4127426,0.7853982,0.08850098
ogapy,5,2,2,-2.761791,3.007842,2.356194,0.08850098
ogapy,5,3,1,-0.8182998,4.260026,3.926991,0.08850098
ogapy,5,4,0,2.994087,-2.071106,5.497787,0.08850098
ogapy,5,0,3,-4.424676,-4.485283,0,0.09715652
ogapy,5,1,4,-4.704881,0.4127426,0.7853982,0.09715652
ogapy,5,2,2,-2.761791,3.007842,2.356194,0.09715652
ogapy,5,3,1,-0.8182998,4.260026,3.926991,0.09715652
ogapy,5,4,0,2.994087,-2.071106,5.497787,0.09715652
ogapy,5,0,3,-4.424676,-4.485283,0,0.1042366
ogapy,5,1,4,-4.704881,0.4127426,0.7853982,0.1042366
ogapy,5,2,2,-2.761791,3.007842,2.356194,0.1042366
ogapy,5,3,1,-0.8182998,4.260026,3.926991,0.1042366
ogapy,5,4,0,2.994087,-2.071106,5.497787,0.1042366
ogapy,5,0,3,-4.424676,-4.485283,0,0.1084747
ogapy,5,1,4,-4.704881,0.4127426,0.7853982,0.1084747
ogapy,5,2,2,-2.761791,3.007842,2.356194,0.1084747
ogapy,5,3,1,-0.8182998,4.260026,3.926991,0.1084747
ogapy,5,4,0,2.994087,-2.071106,5.497787,0.1084747
ogapy,5,0,3,-4.424676,-4.485283,0,0.1123428
ogapy,5,1,4,-4.704881,0.4127426,0.7853982,0.1123428
ogapy,5,2,2,-2.761791,3.007842,2.356194,0.1123428
ogapy,5,3,1,-0.8182998,4.260026,3.926991,0.1123428
ogapy,5,4,0,2.994087,-2.071106,5.497787,0.1123428
ogapy,5,0,3,-4.424676,-4.485283,0,0.1163406
ogapy,5,1,4,-4.704881,0.4127426,0.7853982,0.1163406
ogapy,5,2,2,-2.761791,3.007842,2.356194,0.1163406
ogapy,5,3,1,-0.8182998,4.260026,3.926991,0.1163406
ogapy,5,4,0,2.994087,-2.071106,5.497787,0.1163406
ogapy,5,0,3,-4.424676,-4.485283,0,0.1204453
ogapy,5,1,4,-4.704881,0.4127426,0.7853982,0.1204453
ogapy,5,2,2,-2.761791,3.007842,2.356194,0.1204453
