username,cursornum,primary_id,cursor_id,x,y,rotated_angle,time
ogapy,10,0,9,0,0,0,0
ogapy,10,1,5,0,0,0.7853982,0
ogapy,10,2,1,0,0,1.374447,0
ogapy,10,3,4,0,0,1.963495,0
ogapy,10,4,7,0,0,2.552544,0
ogapy,10,5,3,0,0,3.141593,0
ogapy,10,6,2,0,0,3.730641,0
ogapy,10,7,8,0,0,4.31969,0
ogapy,10,8,6,0,0,4.908739,0
ogapy,10,9,0,0,0,5.497787,0
ogapy,10,0,9,-0.1200767,-4.042418,0,0
ogapy,10,1,5,-3.430496,-1.60162,0.7853982,0
ogapy,10,2,1,4.01093,2.26403,1.374447,0
ogapy,10,3,4,3.30937,-4.450733,1.963495,0
ogapy,10,4,7,3.05105,-3.218097,2.552544,0
ogapy,10,5,3,0.5217128,4.271454,3.141593,0
ogapy,10,6,2,2.411199,3.193522,3.730641,0
ogapy,10,7,8,1.056828,1.89259,4.31969,0
ogapy,10,8,6,-4.234761,2.820654,4.908739,0
ogapy,10,9,0,-0.8602901,-1.308589,5.497787,0
ogapy,10,0,9,-0.1200767,-4.042418,0,0.02000427
ogapy,10,1,5,-3.430496,-1.60162,0.7853982,0.02000427
ogapy,10,2,1,4.01093,2.26403,1.374447,0.02000427
ogapy,10,3,4,3.30937,-4.450733,1.963495,0.02000427
ogapy,10,4,7,3.05105,-3.218097,2.552544,0.02000427
ogapy,10,5,3,0.5217128,4.271454,3.141593,0.02000427
ogapy,10,6,2,2.411199,3.193522,3.730641,0.02000427
ogapy,10,7,8,1.056828,1.89259,4.31969,0.02000427
ogapy,10,8,6,-4.234761,2.820654,4.908739,0.02000427
ogapy,10,9,0,-0.8602901,-1.308589,5.497787,0.02000427
ogapy,10,0,9,-0.1200767,-4.042418,0,0.02440643
ogapy,10,1,5,-3.430496,-1.60162,0.7853982,0.02440643
ogapy,10,2,1,4.01093,2.26403,1.374447,0.02440643
ogapy,10,3,4,3.30937,-4.450733,1.963495,0.02440643
ogapy,10,4,7,3.05105,-3.218097,2.552544,0.02440643
ogapy,10,5,3,0.5217128,4.271454,3.141593,0.02440643
ogapy,10,6,2,2.411199,3.193522,3.730641,0.02440643
ogapy,10,7,8,1.056828,1.89259,4.31969,0.02440643
ogapy,10,8,6,-4.234761,2.820654,4.908739,0.02440643
ogapy,10,9,0,-0.8602901,-1.308589,5.497787,0.02440643
ogapy,10,0,9,-0.1200767,-4.042418,0,0.02792358
ogapy,10,1,5,-3.430496,-1.60162,0.7853982,0.02792358
ogapy,10,2,1,4.01093,2.26403,1.374447,0.02792358
ogapy,10,3,4,3.30937,-4.450733,1.963495,0.02792358
ogapy,10,4,7,3.05105,-3.218097,2.552544,0.02792358
ogapy,10,5,3,0.5217128,4.271454,3.141593,0.02792358
ogapy,10,6,2,2.411199,3.193522,3.730641,0.02792358
ogapy,10,7,8,1.056828,1.89259,4.31969,0.02792358
ogapy,10,8,6,-4.234761,2.820654,4.908739,0.02792358
ogapy,10,9,0,-0.8602901,-1.308589,5.497787,0.02792358
ogapy,10,0,9,-0.1200767,-4.042418,0,0.03203583
ogapy,10,1,5,-3.430496,-1.60162,0.7853982,0.03203583
ogapy,10,2,1,4.01093,2.26403,1.374447,0.03203583
ogapy,10,3,4,3.30937,-4.450733,1.963495,0.03203583
ogapy,10,4,7,3.05105,-3.218097,2.552544,0.03203583
ogapy,10,5,3,0.5217128,4.271454,3.141593,0.03203583
ogapy,10,6,2,2.411199,3.193522,3.730641,0.03203583
ogapy,10,7,8,1.056828,1.89259,4.31969,0.03203583
ogapy,10,8,6,-4.234761,2.820654,4.908739,0.03203583
ogapy,10,9,0,-0.8602901,-1.308589,5.497787,0.03203583
ogapy,10,0,9,-0.1200767,-4.042418,0,0.04411316
ogapy,10,1,5,-3.430496,-1.60162,0.7853982,0.04411316
ogapy,10,2,1,4.01093,2.26403,1.374447,0.04411316
ogapy,10,3,4,3.30937,-4.450733,1.963495,0.04411316
ogapy,10,4,7,3.05105,-3.218097,2.552544,0.04411316
ogapy,10,5,3,0.5217128,4.271454,3.141593,0.04411316
ogapy,10,6,2,2.411199,3.193522,3.730641,0.04411316
ogapy,10,7,8,1.056828,1.89259,4.31969,0.04411316
ogapy,10,8,6,-4.234761,2.820654,4.908739,0.04411316
ogapy,10,9,0,-0.8602901,-1.308589,5.497787,0.04411316
ogapy,10,0,9,-0.1200767,-4.042418,0,0.06452179
ogapy,10,1,5,-3.430496,-1.60162,0.7853982,0.06452179
ogapy,10,2,1,4.01093,2.26403,1.374447,0.06452179
ogapy,10,3,4,3.30937,-4.450733,1.963495,0.06452179
ogapy,10,4,7,3.05105,-3.218097,2.552544,0.06452179
ogapy,10,5,3,0.5217128,4.271454,3.141593,0.06452179
ogapy,10,6,2,2.411199,3.193522,3.730641,0.06452179
ogapy,10,7,8,1.056828,1.89259,4.31969,0.06452179
ogapy,10,8,6,-4.234761,2.820654,4.908739,0.06452179
ogapy,10,9,0,-0.8602901,-1.308589,5.497787,0.06452179
ogapy,10,0,9,-0.1200767,-4.042418,0,0.07210541
ogapy,10,1,5,-3.430496,-1.60162,0.7853982,0.07210541
ogapy,10,2,1,4.01093,2.26403,1.374447,0.07210541
ogapy,10,3,4,3.30937,-4.450733,1.963495,0.07210541
ogapy,10,4,7,3.05105,-3.218097,2.552544,0.07210541
ogapy,10,5,3,0.5217128,4.271454,3.141593,0.07210541
ogapy,10,6,2,2.411199,3.193522,3.730641,0.07210541
ogapy,10,7,8,1.056828,1.89259,4.31969,0.07210541
ogapy,10,8,6,-4.234761,2.820654,4.908739,0.07210541
ogapy,10,9,0,-0.8602901,-1.308589,5.497787,0.07210541
ogapy,10,0,9,-0.1200767,-4.042418,0,0.07627869
ogapy,10,1,5,-3.430496,-1.60162,0.7853982,0.07627869
ogapy,10,2,1,4.01093,2.26403,1.374447,0.07627869
ogapy,10,3,4,3.30937,-4.450733,1.963495,0.07627869
ogapy,10,4,7,3.05105,-3.218097,2.552544,0.07627869
ogapy,10,5,3,0.5217128,4.271454,3.141593,0.07627869
ogapy,10,6,2,2.411199,3.193522,3.730641,0.07627869
ogapy,10,7,8,1.056828,1.89259,4.31969,0.07627869
ogapy,10,8,6,-4.234761,2.820654,4.908739,0.07627869
ogapy,10,9,0,-0.8602901,-1.308589,5.497787,0.07627869
ogapy,10,0,9,-0.1200767,-4.042418,0,0.07963562
ogapy,10,1,5,-3.430496,-1.60162,0.7853982,0.07963562
ogapy,10,2,1,4.01093,2.26403,1.374447,0.07963562
ogapy,10,3,4,3.30937,-4.450733,1.963495,0.07963562
ogapy,10,4,7,3.05105,-3.218097,2.552544,0.07963562
ogapy,10,5,3,0.5217128,4.271454,3.141593,0.07963562
ogapy,10,6,2,2.411199,3.193522,3.730641,0.07963562
ogapy,10,7,8,1.056828,1.89259,4.31969,0.07963562
