username,cursornum,primary_id,cursor_id,x,y,rotated_angle,time
ogapy,20,0,13,0,0,0,0
ogapy,20,1,4,0,0,0.7853982,0
ogapy,20,2,11,0,0,1.047198,0
ogapy,20,3,12,0,0,1.308997,0
ogapy,20,4,1,0,0,1.570796,0
ogapy,20,5,16,0,0,1.832596,0
ogapy,20,6,6,0,0,2.094395,0
ogapy,20,7,15,0,0,2.356194,0
ogapy,20,8,19,0,0,2.617994,0
ogapy,20,9,0,0,0,2.879793,0
ogapy,20,10,3,0,0,3.141593,0
ogapy,20,11,17,0,0,3.403392,0
ogapy,20,12,9,0,0,3.665191,0
ogapy,20,13,8,0,0,3.926991,0
ogapy,20,14,2,0,0,4.18879,0
ogapy,20,15,18,0,0,4.45059,0
ogapy,20,16,14,0,0,4.712389,0
ogapy,20,17,5,0,0,4.974188,0
ogapy,20,18,7,0,0,5.235988,0
ogapy,20,19,10,0,0,5.497787,0
ogapy,20,0,13,-2.191498,-2.306606,0,0
ogapy,20,1,4,-2.30366,-2.868732,0.7853982,0
ogapy,20,2,11,0.407464,2.078474,1.047198,0
ogapy,20,3,12,-4.507934,-3.804929,1.308997,0
ogapy,20,4,1,0.4601936,3.829488,1.570796,0
ogapy,20,5,16,-1.442761,-2.758465,1.832596,0
ogapy,20,6,6,4.661085,-4.308516,2.094395,0
ogapy,20,7,15,-2.862348,-2.117829,2.356194,0
ogapy,20,8,19,-0.3913121,3.136928,2.617994,0
ogapy,20,9,0,2.715553,0.4937382,2.879793,0
ogapy,20,10,3,3.517595,0.2549224,3.141593,0
ogapy,20,11,17,3.663383,4.724838,3.403392,0
ogapy,20,12,9,2.428937,4.313823,3.665191,0
ogapy,20,13,8,4.511765,2.011955,3.926991,0
ogapy,20,14,2,1.846969,0.354013,4.18879,0
ogapy,20,15,18,1.414508,3.567561,4.45059,0
ogapy,20,16,14,2.566698,2.420447,4.712389,0
ogapy,20,17,5,-0.9350486,4.214132,4.974188,0
ogapy,20,18,7,-1.486974,-3.863379,5.235988,0
ogapy,20,19,10,3.41089,4.670948,5.497787,0
ogapy,20,0,13,-2.191498,-2.306606,0,0.02000046
ogapy,20,1,4,-2.30366,-2.868732,0.7853982,0.02000046
ogapy,20,2,11,0.407464,2.078474,1.047198,0.02000046
ogapy,20,3,12,-4.507934,-3.804929,1.308997,0.02000046
ogapy,20,4,1,0.4601936,3.829488,1.570796,0.02000046
ogapy,20,5,16,-1.442761,-2.758465,1.832596,0.02000046
ogapy,20,6,6,4.661085,-4.308516,2.094395,0.02000046
ogapy,20,7,15,-2.862348,-2.117829,2.356194,0.02000046
ogapy,20,8,19,-0.3913121,3.136928,2.617994,0.02000046
ogapy,20,9,0,2.715553,0.4937382,2.879793,0.02000046
ogapy,20,10,3,3.517595,0.2549224,3.141593,0.02000046
ogapy,20,11,17,3.663383,4.724838,3.403392,0.02000046
ogapy,20,12,9,2.428937,4.313823,3.665191,0.02000046
ogapy,20,13,8,4.511765,2.011955,3.926991,0.02000046
ogapy,20,14,2,1.846969,0.354013,4.18879,0.02000046
ogapy,20,15,18,1.414508,3.567561,4.45059,0.02000046
ogapy,20,16,14,2.566698,2.420447,4.712389,0.02000046
ogapy,20,17,5,-0.9350486,4.214132,4.974188,0.02000046
ogapy,20,18,7,-1.486974,-3.863379,5.235988,0.02000046
ogapy,20,19,10,3.41089,4.670948,5.497787,0.02000046
ogapy,20,0,13,-2.191498,-2.306606,0,0.02774048
ogapy,20,1,4,-2.30366,-2.868732,0.7853982,0.02774048
ogapy,20,2,11,0.407464,2.078474,1.047198,0.02774048
ogapy,20,3,12,-4.507934,-3.804929,1.308997,0.02774048
ogapy,20,4,1,0.4601936,3.829488,1.570796,0.02774048
ogapy,20,5,16,-1.442761,-2.758465,1.832596,0.02774048
ogapy,20,6,6,4.661085,-4.308516,2.094395,0.02774048
ogapy,20,7,15,-2.862348,-2.117829,2.356194,0.02774048
ogapy,20,8,19,-0.3913121,3.136928,2.617994,0.02774048
ogapy,20,9,0,2.715553,0.4937382,2.879793,0.02774048
ogapy,20,10,3,3.517595,0.2549224,3.141593,0.02774048
ogapy,20,11,17,3.663383,4.724838,3.403392,0.02774048
ogapy,20,12,9,2.428937,4.313823,3.665191,0.02774048
ogapy,20,13,8,4.511765,2.011955,3.926991,0.02774048
ogapy,20,14,2,1.846969,0.354013,4.18879,0.02774048
ogapy,20,15,18,1.414508,3.567561,4.45059,0.02774048
ogapy,20,16,14,2.566698,2.420447,4.712389,0.02774048
ogapy,20,17,5,-0.9350486,4.214132,4.974188,0.02774048
ogapy,20,18,7,-1.486974,-3.863379,5.235988,0.02774048
ogapy,20,19,10,3.41089,4.670948,5.497787,0.02774048
ogapy,20,0,13,-2.191498,-2.306606,0,0.0314846
ogapy,20,1,4,-2.30366,-2.868732,0.7853982,0.0314846
ogapy,20,2,11,0.407464,2.078474,1.047198,0.0314846
ogapy,20,3,12,-4.507934,-3.804929,1.308997,0.0314846
ogapy,20,4,1,0.4601936,3.829488,1.570796,0.0314846
ogapy,20,5,16,-1.442761,-2.758465,1.832596,0.0314846
ogapy,20,6,6,4.661085,-4.308516,2.094395,0.0314846
ogapy,20,7,15,-2.862348,-2.117829,2.356194,0.0314846
ogapy,20,8,19,-0.3913121,3.136928,2.617994,0.0314846
ogapy,20,9,0,2.715553,0.4937382,2.879793,0.0314846
ogapy,20,10,3,3.517595,0.2549224,3.141593,0.0314846
ogapy,20,11,17,3.663383,4.724838,3.403392,0.0314846
ogapy,20,12,9,2.428937,4.313823,3.665191,0.0314846
ogapy,20,13,8,4.511765,2.011955,3.926991,0.0314846
ogapy,20,14,2,1.846969,0.354013,4.18879,0.0314846
ogapy,20,15,18,1.414508,3.567561,4.45059,0.0314846
ogapy,20,16,14,2.566698,2.420447,4.712389,0.0314846
ogapy,20,17,5,-0.9350486,4.214132,4.974188,0.0314846
ogapy,20,18,7,-1.486974,-3.863379,5.235988,0.0314846
ogapy,20,19,10,3.41089,4.670948,5.497787,0.0314846
ogapy,20,0,13,-2.191498,-2.306606,0,0.03544235
ogapy,20,1,4,-2.30366,-2.868732,0.7853982,0.03544235
ogapy,20,2,11,0.407464,2.078474,1.047198,0.03544235
ogapy,20,3,12,-4.507934,-3.804929,1.308997,0.03544235
ogapy,20,4,1,0.4601936,3.829488,1.570796,0.03544235
ogapy,20,5,16,-1.442761,-2.758465,1.832596,0.03544235
ogapy,20,6,6,4.661085,-4.308516,2.094395,0.03544235
ogapy,20,7,15,-2.862348,-2.117829,2.356194,0.03544235
ogapy,20,8,19,-0.3913121,3.136928,2.617994,0.03544235
ogapy,20,9,0,2.715553,0.4937382,2.879793,0.03544235
ogapy,20,10,3,3.517595,0.2549224,3.141593,0.03544235
ogapy,20,11,17,3.663383,4.724838,3.403392,0.03544235
ogapy,20,12,9,2.428937,4.313823,3.665191,0.03544235
ogapy,20,13,8,4.511765,2.011955,3.926991,0.03544235
ogapy,20,14,2,1.846969,0.354013,4.18879,0.03544235
ogapy,20,15,18,1.414508,3.567561,4.45059,0.03544235
ogapy,20,16,14,2.566698,2.420447,4.712389,0.03544235
ogapy,20,17,5,-0.9350486,4.214132,4.974188,0.03544235
ogapy,20,18,7,-1.486974,-3.863379,5.235988,0.03544235
ogapy,20,19,10,3.41089,4.670948,5.497787,0.03544235
ogapy,20,0,13,-2.191498,-2.306606,0,0.03924751
ogapy,20,1,4,-2.30366,-2.868732,0.7853982,0.03924751
ogapy,20,2,11,0.407464,2.078474,1.047198,0.03924751
ogapy,20,3,12,-4.507934,-3.804929,1.308997,0.03924751
ogapy,20,4,1,0.4601936,3.829488,1.570796,0.03924751
ogapy,20,5,16,-1.442761,-2.758465,1.832596,0.03924751
ogapy,20,6,6,4.661085,-4.308516,2.094395,0.03924751
ogapy,20,7,15,-2.862348,-2.117829,2.356194,0.03924751
ogapy,20,8,19,-0.3913121,3.136928,2.617994,0.03924751
ogapy,20,9,0,2.715553,0.4937382,2.879793,0.03924751
ogapy,20,10,3,3.517595,0.2549224,3.141593,0.03924751
ogapy,20,11,17,3.663383,4.724838,3.403392,0.03924751
ogapy,20,12,9,2.428937,4.313823,3.665191,0.03924751
ogapy,20,13,8,4.511765,2.011955,3.926991,0.03924751
ogapy,20,14,2,1.846969,0.354013,4.18879,0.03924751
ogapy,20,15,18,1.414508,3.567561,4.45059,0.03924751
ogapy,20,16,14,2.566698,2.420447,4.712389,0.03924751
ogapy,20,17,5,-0.9350486,4.214132,4.974188,0.03924751
ogapy,20,18,7,-1.486974,-3.863379,5.235988,0.03924751
ogapy,20,19,10,3.41089,4.670948,5.497787,0.03924751
ogapy,20,0,13,-2.191498,-2.306606,0,0.05954552
ogapy,20,1,4,-2.30366,-2.868732,0.7853982,0.05954552
ogapy,20,2,11,0.407464,2.078474,1.047198,0.05954552
ogapy,20,3,12,-4.507934,-3.804929,1.308997,0.05954552
ogapy,20,4,1,0.4601936,3.829488,1.570796,0.05954552
ogapy,20,5,16,-1.442761,-2.758465,1.832596,0.05954552
ogapy,20,6,6,4.661085,-4.308516,2.094395,0.05954552
ogapy,20,7,15,-2.862348,-2.117829,2.356194,0.05954552
ogapy,20,8,19,-0.3913121,3.136928,2.617994,0.05954552
ogapy,20,9,0,2.715553,0.4937382,2.879793,0.05954552
ogapy,20,10,3,3.517595,0.2549224,3.141593,0.05954552
ogapy,20,11,17,3.663383,4.724838,3.403392,0.05954552
ogapy,20,12,9,2.428937,4.313823,3.665191,0.05954552
ogapy,20,13,8,4.511765,2.011955,3.926991,0.05954552
ogapy,20,14,2,1.846969,0.354013,4.18879,0.05954552
ogapy,20,15,18,1.414508,3.567561,4.45059,0.05954552
ogapy,20,16,14,2.566698,2.420447,4.712389,0.05954552
ogapy,20,17,5,-0.9350486,4.214132,4.974188,0.05954552
ogapy,20,18,7,-1.486974,-3.863379,5.235988,0.05954552
ogapy,20,19,10,3.41089,4.670948,5.497787,0.05954552
ogapy,20,0,13,-2.191498,-2.306606,0,0.0633297
ogapy,20,1,4,-2.30366,-2.868732,0.7853982,0.0633297
ogapy,20,2,11,0.407464,2.078474,1.047198,0.0633297
ogapy,20,3,12,-4.507934,-3.804929,1.308997,0.0633297
ogapy,20,4,1,0.4601936,3.829488,1.570796,0.0633297
ogapy,20,5,16,-1.442761,-2.758465,1.832596,0.0633297
ogapy,20,6,6,4.661085,-4.308516,2.094395,0.0633297
ogapy,20,7,15,-2.862348,-2.117829,2.356194,0.0633297
ogapy,20,8,19,-0.3913121,3.136928,2.617994,0.0633297
ogapy,20,9,0,2.715553,0.4937382,2.879793,0.0633297
ogapy,20,10,3,3.517595,0.2549224,3.141593,0.0633297
ogapy,20,11,17,3.663383,4.724838,3.403392,0.0633297
ogapy,20,12,9,2.428937,4.313823,3.665191,0.0633297
ogapy,20,13,8,4.511765,2.011955,3.926991,0.0633297
ogapy,20,14,2,1.846969,0.354013,4.18879,0.0633297
ogapy,20,15,18,1.414508,3.567561,4.45059,0.0633297
ogapy,20,16,14,2.566698,2.420447,4.712389,0.0633297
ogapy,20,17,5,-0.9350486,4.214132,4.974188,0.0633297
ogapy,20,18,7,-1.486974,-3.863379,5.235988,0.0633297
ogapy,20,19,10,3.41089,4.670948,5.497787,0.0633297
ogapy,20,0,13,-2.191498,-2.306606,0,0.06741333
ogapy,20,1,4,-2.30366,-2.868732,0.7853982,0.06741333
ogapy,20,2,11,0.407464,2.078474,1.047198,0.06741333
ogapy,20,3,12,-4.507934,-3.804929,1.308997,0.06741333
ogapy,20,4,1,0.4601936,3.829488,1.570796,0.06741333
ogapy,20,5,16,-1.442761,-2.758465,1.832596,0.06741333
ogapy,20,6,6,4.661085,-4.308516,2.094395,0.06741333
ogapy,20,7,15,-2.862348,-2.117829,2.356194,0.06741333
ogapy,20,8,19,-0.3913121,3.136928,2.617994,0.06741333
ogapy,20,9,0,2.715553,0.4937382,2.879793,0.06741333
ogapy,20,10,3,3.517595,0.2549224,3.141593,0.06741333
ogapy,20,11,17,3.663383,4.724838,3.403392,0.06741333
ogapy,20,12,9,2.428937,4.313823,3.665191,0.06741333
ogapy,20,13,8,4.511765,2.011955,3.926991,0.06741333
ogapy,20,14,2,1.846969,0.354013,4.18879,0.06741333
ogapy,20,15,18,1.414508,3.567561,4.45059,0.06741333
ogapy,20,16,14,2.566698,2.420447,4.712389,0.06741333
ogapy,20,17,5,-0.9350486,4.214132,4.974188,0.06741333
ogapy,20,18,7,-1.486974,-3.863379,5.235988,0.06741333
ogapy,20,19,10,3.41089,4.670948,5.497787,0.06741333
ogapy,20,0,13,-2.191498,-2.306606,0,0.07183456
ogapy,20,1,4,-2.30366,-2.868732,0.7853982,0.07183456
ogapy,20,2,11,0.407464,2.078474,1.047198,0.07183456
ogapy,20,3,12,-4.507934,-3.804929,1.308997,0.07183456
ogapy,20,4,1,0.4601936,3.829488,1.570796,0.07183456
ogapy,20,5,16,-1.442761,-2.758465,1.832596,0.07183456
ogapy,20,6,6,4.661085,-4.308516,2.094395,0.07183456
ogapy,20,7,15,-2.862348,-2.117829,2.356194,0.07183456
ogapy,20,8,19,-0.3913121,3.136928,2.617994,0.07183456
ogapy,20,9,0,2.715553,0.4937382,2.879793,0.07183456
ogapy,20,10,3,3.517595,0.2549224,3.141593,0.07183456
ogapy,20,11,17,3.663383,4.724838,3.403392,0.07183456
ogapy,20,12,9,2.428937,4.313823,3.665191,0.07183456
ogapy,20,13,8,4.511765,2.011955,3.926991,0.07183456
ogapy,20,14,2,1.846969,0.354013,4.18879,0.07183456
ogapy,20,15,18,1.414508,3.567561,4.45059,0.07183456
ogapy,20,16,14,2.566698,2.420447,4.712389,0.07183456
ogapy,20,17,5,-0.9350486,4.214132,4.974188,0.07183456
ogapy,20,18,7,-1.486974,-3.863379,5.235988,0.07183456
ogapy,20,19,10,3.41089,4.670948,5.497787,0.07183456
ogapy,20,0,13,-2.191498,-2.306606,0,0.07557869
ogapy,20,1,4,-2.30366,-2.868732,0.7853982,0.07557869
ogapy,20,2,11,0.407464,2.078474,1.047198,0.07557869
ogapy,20,3,12,-4.507934,-3.804929,1.308997,0.07557869
ogapy,20,4,1,0.4601936,3.829488,1.570796,0.07557869
ogapy,20,5,16,-1.442761,-2.758465,1.832596,0.07557869
ogapy,20,6,6,4.661085,-4.308516,2.094395,0.07557869
ogapy,20,7,15,-2.862348,-2.117829,2.356194,0.07557869
ogapy,20,8,19,-0.3913121,3.136928,2.617994,0.07557869
ogapy,20,9,0,2.715553,0.4937382,2.879793,0.07557869
ogapy,20,10,3,3.517595,0.2549224,3.141593,0.07557869
ogapy,20,11,17,3.663383,4.724838,3.403392,0.07557869
ogapy,20,12,9,2.428937,4.313823,3.665191,0.07557869
ogapy,20,13,8,4.511765,2.011955,3.926991,0.07557869
ogapy,20,14,2,1.846969,0.354013,4.18879,0.07557869
ogapy,20,15,18,1.414508,3.567561,4.45059,0.07557869
ogapy,20,16,14,2.566698,2.420447,4.712389,0.07557869
ogapy,20,17,5,-0.9350486,4.214132,4.974188,0.07557869
ogapy,20,18,7,-1.486974,-3.863379,5.235988,0.07557869
ogapy,20,19,10,3.41089,4.670948,5.497787,0.07557869
ogapy,20,0,13,-2.191498,-2.306606,0,0.07951164
ogapy,20,1,4,-2.30366,-2.868732,0.7853982,0.07951164
ogapy,20,2,11,0.407464,2.078474,1.047198,0.07951164
ogapy,20,3,12,-4.507934,-3.804929,1.308997,0.07951164
ogapy,20,4,1,0.4601936,3.829488,1.570796,0.07951164
ogapy,20,5,16,-1.442761,-2.758465,1.832596,0.07951164
ogapy,20,6,6,4.661085,-4.308516,2.094395,0.07951164
ogapy,20,7,15,-2.862348,-2.117829,2.356194,0.07951164
ogapy,20,8,19,-0.3913121,3.136928,2.617994,0.07951164
ogapy,20,9,0,2.715553,0.4937382,2.879793,0.07951164
ogapy,20,10,3,3.517595,0.2549224,3.141593,0.07951164
ogapy,20,11,17,3.663383,4.724838,3.403392,0.07951164
ogapy,20,12,9,2.428937,4.313823,3.665191,0.07951164
ogapy,20,13,8,4.511765,2.011955,3.926991,0.07951164
ogapy,20,14,2,1.846969,0.354013,4.18879,0.07951164
ogapy,20,15,18,1.414508,3.567561,4.45059,0.07951164
ogapy,20,16,14,2.566698,2.420447,4.712389,0.07951164
ogapy,20,17,5,-0.9350486,4.214132,4.974188,0.07951164
ogapy,20,18,7,-1.486974,-3.863379,5.235988,0.07951164
ogapy,20,19,10,3.41089,4.670948,5.497787,0.07951164
ogapy,20,0,13,-2.191498,-2.306606,0,0.08338356
ogapy,20,1,4,-2.30366,-2.868732,0.7853982,0.08338356
ogapy,20,2,11,0.407464,2.078474,1.047198,0.08338356
ogapy,20,3,12,-4.507934,-3.804929,1.308997,0.08338356
ogapy,20,4,1,0.4601936,3.829488,1.570796,0.08338356
ogapy,20,5,16,-1.442761,-2.758465,1.832596,0.08338356
ogapy,20,6,6,4.661085,-4.308516,2.094395,0.08338356
ogapy,20,7,15,-2.862348,-2.117829,2.356194,0.08338356
ogapy,20,8,19,-0.3913121,3.136928,2.617994,0.08338356
ogapy,20,9,0,2.715553,0.4937382,2.879793,0.08338356
ogapy,20,10,3,3.517595,0.2549224,3.141593,0.08338356
ogapy,20,11,17,3.663383,4.724838,3.403392,0.08338356
ogapy,20,12,9,2.428937,4.313823,3.665191,0.08338356
ogapy,20,13,8,4.511765,2.011955,3.926991,0.08338356
ogapy,20,14,2,1.846969,0.354013,4.18879,0.08338356
ogapy,20,15,18,1.414508,3.567561,4.45059,0.08338356
ogapy,20,16,14,2.566698,2.420447,4.712389,0.08338356
ogapy,20,17,5,-0.9350486,4.214132,4.974188,0.08338356
ogapy,20,18,7,-1.486974,-3.863379,5.235988,0.08338356
ogapy,20,19,10,3.41089,4.670948,5.497787,0.08338356
ogapy,20,0,13,-2.191498,-2.306606,0,0.08755875
