username,cursornum,primary_id,cursor_id,x,y,rotated_angle,diameter,window_size,delay,speed_rate,time
f,20,0,8,0,0,0,10,810,0,1,0
f,20,1,3,0,0,0.7853982,10,810,0,1,0
f,20,2,10,0,0,1.047198,10,810,0,1,0
f,20,3,1,0,0,1.308997,10,810,0,1,0
f,20,4,7,0,0,1.570796,10,810,0,1,0
f,20,5,0,0,0,1.832596,10,810,0,1,0
f,20,6,14,0,0,2.094395,10,810,0,1,0
f,20,7,4,0,0,2.356194,10,810,0,1,0
f,20,8,17,0,0,2.617994,10,810,0,1,0
f,20,9,11,0,0,2.879793,10,810,0,1,0
f,20,10,13,0,0,3.141593,10,810,0,1,0
f,20,11,18,0,0,3.403392,10,810,0,1,0
f,20,12,15,0,0,3.665191,10,810,0,1,0
f,20,13,16,0,0,3.926991,10,810,0,1,0
f,20,14,12,0,0,4.18879,10,810,0,1,0
f,20,15,2,0,0,4.45059,10,810,0,1,0
f,20,16,19,0,0,4.712389,10,810,0,1,0
f,20,17,5,0,0,4.974188,10,810,0,1,0
f,20,18,9,0,0,5.235988,10,810,0,1,0
f,20,19,6,0,0,5.497787,10,810,0,1,0
f,20,0,8,-357.5422,123.6212,0,10,810,0,1,0
f,20,1,3,144.2512,-373.7303,0.7853982,10,810,0,1,0
f,20,2,10,160.6928,211.6277,1.047198,10,810,0,1,0
f,20,3,1,19.27304,-44.14029,1.308997,10,810,0,1,0
f,20,4,7,339.7195,86.47006,1.570796,10,810,0,1,0
f,20,5,0,-26.83209,312.8279,1.832596,10,810,0,1,0
f,20,6,14,257.7991,317.4186,2.094395,10,810,0,1,0
f,20,7,4,-392.9465,9.138733,2.356194,10,810,0,1,0
f,20,8,17,126.2702,-152.5762,2.617994,10,810,0,1,0
f,20,9,11,-245.1214,-234.6344,2.879793,10,810,0,1,0
f,20,10,13,-192.7658,-80.02155,3.141593,10,810,0,1,0
f,20,11,18,270.954,-221.8055,3.403392,10,810,0,1,0
f,20,12,15,289.5139,-150.4631,3.665191,10,810,0,1,0
f,20,13,16,370.847,315.8414,3.926991,10,810,0,1,0
f,20,14,12,-376.6917,324.6774,4.18879,10,810,0,1,0
f,20,15,2,272.3123,-50.93906,4.45059,10,810,0,1,0
f,20,16,19,-134.0391,122.1266,4.712389,10,810,0,1,0
f,20,17,5,337.7086,147.5613,4.974188,10,810,0,1,0
f,20,18,9,47.01093,335.269,5.235988,10,810,0,1,0
f,20,19,6,148.7191,-123.4126,5.497787,10,810,0,1,0
f,20,0,8,-357.5422,123.6212,0,10,810,0,1,0.02000046
f,20,1,3,144.2512,-373.7303,0.7853982,10,810,0,1,0.02000046
f,20,2,10,160.6928,211.6277,1.047198,10,810,0,1,0.02000046
f,20,3,1,19.27304,-44.14029,1.308997,10,810,0,1,0.02000046
f,20,4,7,339.7195,86.47006,1.570796,10,810,0,1,0.02000046
f,20,5,0,-26.83209,312.8279,1.832596,10,810,0,1,0.02000046
