username,cursornum,primary_id,cursor_id,x,y,rotated_angle,diameter,window_size,delay,speed_rate,time
f,50,0,32,0,0,0,30,1080,1000,2,0
f,50,1,46,0,0,0.7853982,30,1080,1000,2,0
f,50,2,40,0,0,0.8835729,30,1080,1000,2,0
f,50,3,21,0,0,0.9817477,30,1080,1000,2,0
f,50,4,2,0,0,1.079922,30,1080,1000,2,0
f,50,5,26,0,0,1.178097,30,1080,1000,2,0
f,50,6,4,0,0,1.276272,30,1080,1000,2,0
f,50,7,43,0,0,1.374447,30,1080,1000,2,0
f,50,8,34,0,0,1.472622,30,1080,1000,2,0
f,50,9,35,0,0,1.570796,30,1080,1000,2,0
f,50,10,30,0,0,1.668971,30,1080,1000,2,0
f,50,11,11,0,0,1.767146,30,1080,1000,2,0
f,50,12,12,0,0,1.865321,30,1080,1000,2,0
f,50,13,33,0,0,1.963495,30,1080,1000,2,0
f,50,14,31,0,0,2.06167,30,1080,1000,2,0
f,50,15,24,0,0,2.159845,30,1080,1000,2,0
f,50,16,37,0,0,2.25802,30,1080,1000,2,0
f,50,17,16,0,0,2.356194,30,1080,1000,2,0
f,50,18,6,0,0,2.454369,30,1080,1000,2,0
f,50,19,23,0,0,2.552544,30,1080,1000,2,0
f,50,20,25,0,0,2.650719,30,1080,1000,2,0
f,50,21,49,0,0,2.748893,30,1080,1000,2,0
f,50,22,44,0,0,2.847068,30,1080,1000,2,0
f,50,23,14,0,0,2.945243,30,1080,1000,2,0
f,50,24,13,0,0,3.043418,30,1080,1000,2,0
f,50,25,45,0,0,3.141593,30,1080,1000,2,0
f,50,26,47,0,0,3.239767,30,1080,1000,2,0
f,50,27,15,0,0,3.337942,30,1080,1000,2,0
f,50,28,39,0,0,3.436117,30,1080,1000,2,0
f,50,29,9,0,0,3.534292,30,1080,1000,2,0
f,50,30,7,0,0,3.632467,30,1080,1000,2,0
f,50,31,19,0,0,3.730641,30,1080,1000,2,0
f,50,32,27,0,0,3.828816,30,1080,1000,2,0
f,50,33,5,0,0,3.926991,30,1080,1000,2,0
f,50,34,42,0,0,4.025166,30,1080,1000,2,0
f,50,35,8,0,0,4.12334,30,1080,1000,2,0
f,50,36,20,0,0,4.221515,30,1080,1000,2,0
f,50,37,41,0,0,4.31969,30,1080,1000,2,0
f,50,38,17,0,0,4.417865,30,1080,1000,2,0
f,50,39,28,0,0,4.516039,30,1080,1000,2,0
f,50,40,48,0,0,4.614214,30,1080,1000,2,0
f,50,41,1,0,0,4.712389,30,1080,1000,2,0
