username,cursornum,primary_id,cursor_id,x,y,rotated_angle,diameter,window_size,delay,speed_rate,time
f,50,0,23,0,0,0,20,540,0,2,0
f,50,1,48,0,0,0.7853982,20,540,0,2,0
f,50,2,8,0,0,0.8835729,20,540,0,2,0
f,50,3,13,0,0,0.9817477,20,540,0,2,0
f,50,4,49,0,0,1.079922,20,540,0,2,0
f,50,5,18,0,0,1.178097,20,540,0,2,0
f,50,6,3,0,0,1.276272,20,540,0,2,0
f,50,7,24,0,0,1.374447,20,540,0,2,0
f,50,8,47,0,0,1.472622,20,540,0,2,0
f,50,9,17,0,0,1.570796,20,540,0,2,0
f,50,10,2,0,0,1.668971,20,540,0,2,0
f,50,11,43,0,0,1.767146,20,540,0,2,0
f,50,12,1,0,0,1.865321,20,540,0,2,0
f,50,13,32,0,0,1.963495,20,540,0,2,0
f,50,14,7,0,0,2.06167,20,540,0,2,0
f,50,15,21,0,0,2.159845,20,540,0,2,0
f,50,16,16,0,0,2.25802,20,540,0,2,0
f,50,17,45,0,0,2.356194,20,540,0,2,0
f,50,18,26,0,0,2.454369,20,540,0,2,0
f,50,19,6,0,0,2.552544,20,540,0,2,0
f,50,20,34,0,0,2.650719,20,540,0,2,0
f,50,21,9,0,0,2.748893,20,540,0,2,0
f,50,22,20,0,0,2.847068,20,540,0,2,0
f,50,23,5,0,0,2.945243,20,540,0,2,0
f,50,24,14,0,0,3.043418,20,540,0,2,0
f,50,25,36,0,0,3.141593,20,540,0,2,0
f,50,26,12,0,0,3.239767,20,540,0,2,0
f,50,27,25,0,0,3.337942,20,540,0,2,0
f,50,28,42,0,0,3.436117,20,540,0,2,0
f,50,29,44,0,0,3.534292,20,540,0,2,0
f,50,30,27,0,0,3.632467,20,540,0,2,0
f,50,31,30,0,0,3.730641,20,540,0,2,0
f,50,32,35,0,0,3.828816,20,540,0,2,0
f,50,33,29,0,0,3.926991,20,540,0,2,0
f,50,34,22,0,0,4.025166,20,540,0,2,0
f,50,35,37,0,0,4.12334,20,540,0,2,0
f,50,36,28,0,0,4.221515,20,540,0,2,0
f,50,37,39,0,0,4.31969,20,540,0,2,0
f,50,38,0,0,0,4.417865,20,540,0,2,0
f,50,39,10,0,0,4.516039,20,540,0,2,0
f,50,40,46,0,0,4.614214,20,540,0,2,0
f,50,41,4,0,0,4.712389,20,540,0,2,0
f,50,42,11,0,0,4.810564,20,540,0,2,0
f,50,43,31,0,0,4.908739,20,540,0,2,0
f,50,44,19,0,0,5.006913,20,540,0,2,0
f,50,45,33,0,0,5.105088,20,540,0,2,0
f,50,46,40,0,0,5.203263,20,540,0,2,0
f,50,47,38,0,0,5.301437,20,540,0,2,0
f,50,48,41,0,0,5.399612,20,540,0,2,0
f,50,49,15,0,0,5.497787,20,540,0,2,0
f,50,0,23,76.88609,-99.21243,0,20,540,0,2,0
f,50,1,48,-58.04917,259.4863,0.7853982,20,540,0,2,0
f,50,2,8,85.72463,-126.9936,0.8835729,20,540,0,2,0
f,50,3,13,145.0811,11.03601,0.9817477,20,540,0,2,0
f,50,4,49,-79.11615,-19.06332,1.079922,20,540,0,2,0
f,50,5,18,116.0586,-127.243,1.178097,20,540,0,2,0
f,50,6,3,172.3217,-10.97531,1.276272,20,540,0,2,0
f,50,7,24,124.2302,141.4105,1.374447,20,540,0,2,0
f,50,8,47,-64.992,115.5794,1.472622,20,540,0,2,0
f,50,9,17,118.1787,-150.9039,1.570796,20,540,0,2,0
f,50,10,2,-138.1609,-120.6414,1.668971,20,540,0,2,0
f,50,11,43,119.1605,-96.29705,1.767146,20,540,0,2,0
f,50,12,1,138.7953,-251.1672,1.865321,20,540,0,2,0
f,50,13,32,-199.1386,227.097,1.963495,20,540,0,2,0
f,50,14,7,-176.9908,51.46091,2.06167,20,540,0,2,0
f,50,15,21,204.4589,77.2207,2.159845,20,540,0,2,0
f,50,16,16,31.37363,252.3268,2.25802,20,540,0,2,0
f,50,17,45,40.21792,147.9229,2.356194,20,540,0,2,0
f,50,18,26,-26.54708,126.3376,2.454369,20,540,0,2,0
f,50,19,6,79.02933,234.7106,2.552544,20,540,0,2,0
f,50,20,34,-170.2473,170.0319,2.650719,20,540,0,2,0
f,50,21,9,-96.97168,181.1498,2.748893,20,540,0,2,0
f,50,22,20,-245.3841,-146.5665,2.847068,20,540,0,2,0
f,50,23,5,215.3511,263.9054,2.945243,20,540,0,2,0
f,50,24,14,-157.2151,-266.1035,3.043418,20,540,0,2,0
f,50,25,36,-190.6175,-92.4805,3.141593,20,540,0,2,0
f,50,26,12,-43.09583,35.04413,3.239767,20,540,0,2,0
f,50,27,25,147.3863,-99.99347,3.337942,20,540,0,2,0
f,50,28,42,-0.2216797,-182.8505,3.436117,20,540,0,2,0
f,50,29,44,237.0917,98.12005,3.534292,20,540,0,2,0
f,50,30,27,10.20508,168.6646,3.632467,20,540,0,2,0
f,50,31,30,146.3479,123.2673,3.730641,20,540,0,2,0
f,50,32,35,-91.73416,-88.37286,3.828816,20,540,0,2,0
f,50,33,29,-56.52161,88.08474,3.926991,20,540,0,2,0
f,50,34,22,113.5174,-206.2918,4.025166,20,540,0,2,0
f,50,35,37,44.79554,239.4461,4.12334,20,540,0,2,0
f,50,36,28,69.99245,-155.5698,4.221515,20,540,0,2,0
f,50,37,39,-126.0164,-99.01545,4.31969,20,540,0,2,0
f,50,38,0,63.51837,218.2298,4.417865,20,540,0,2,0
f,50,39,10,40.96406,155.9848,4.516039,20,540,0,2,0
f,50,40,46,83.7713,13.83063,4.614214,20,540,0,2,0
