username,cursornum,primary_id,cursor_id,x,y,rotated_angle,diameter,window_size,delay,speed_rate,time
f,50,0,25,0,0,0,30,540,1000,0.5,0
f,50,1,27,0,0,0.7853982,30,540,1000,0.5,0
f,50,2,43,0,0,0.8835729,30,540,1000,0.5,0
f,50,3,10,0,0,0.9817477,30,540,1000,0.5,0
f,50,4,7,0,0,1.079922,30,540,1000,0.5,0
f,50,5,38,0,0,1.178097,30,540,1000,0.5,0
f,50,6,8,0,0,1.276272,30,540,1000,0.5,0
f,50,7,28,0,0,1.374447,30,540,1000,0.5,0
f,50,8,20,0,0,1.472622,30,540,1000,0.5,0
f,50,9,13,0,0,1.570796,30,540,1000,0.5,0
f,50,10,34,0,0,1.668971,30,540,1000,0.5,0
f,50,11,44,0,0,1.767146,30,540,1000,0.5,0
f,50,12,23,0,0,1.865321,30,540,1000,0.5,0
f,50,13,3,0,0,1.963495,30,540,1000,0.5,0
f,50,14,31,0,0,2.06167,30,540,1000,0.5,0
f,50,15,30,0,0,2.159845,30,540,1000,0.5,0
f,50,16,12,0,0,2.25802,30,540,1000,0.5,0
f,50,17,16,0,0,2.356194,30,540,1000,0.5,0
f,50,18,47,0,0,2.454369,30,540,1000,0.5,0
f,50,19,18,0,0,2.552544,30,540,1000,0.5,0
f,50,20,41,0,0,2.650719,30,540,1000,0.5,0
f,50,21,48,0,0,2.748893,30,540,1000,0.5,0
f,50,22,5,0,0,2.847068,30,540,1000,0.5,0
f,50,23,49,0,0,2.945243,30,540,1000,0.5,0
f,50,24,19,0,0,3.043418,30,540,1000,0.5,0
f,50,25,37,0,0,3.141593,30,540,1000,0.5,0
f,50,26,14,0,0,3.239767,30,540,1000,0.5,0
f,50,27,39,0,0,3.337942,30,540,1000,0.5,0
f,50,28,1,0,0,3.436117,30,540,1000,0.5,0
f,50,29,15,0,0,3.534292,30,540,1000,0.5,0
f,50,30,35,0,0,3.632467,30,540,1000,0.5,0
f,50,31,2,0,0,3.730641,30,540,1000,0.5,0
f,50,32,11,0,0,3.828816,30,540,1000,0.5,0
f,50,33,21,0,0,3.926991,30,540,1000,0.5,0
f,50,34,36,0,0,4.025166,30,540,1000,0.5,0
f,50,35,33,0,0,4.12334,30,540,1000,0.5,0
f,50,36,6,0,0,4.221515,30,540,1000,0.5,0
f,50,37,24,0,0,4.31969,30,540,1000,0.5,0
f,50,38,29,0,0,4.417865,30,540,1000,0.5,0
f,50,39,46,0,0,4.516039,30,540,1000,0.5,0
f,50,40,40,0,0,4.614214,30,540,1000,0.5,0
f,50,41,17,0,0,4.712389,30,540,1000,0.5,0
f,50,42,22,0,0,4.810564,30,540,1000,0.5,0
f,50,43,32,0,0,4.908739,30,540,1000,0.5,0
f,50,44,0,0,0,5.006913,30,540,1000,0.5,0
