username,cursornum,primary_id,cursor_id,x,y,rotated_angle,diameter,window_size,delay,speed_rate,time
d,10,0,1,0,0,0,10,1080,0,1,0
d,10,1,5,0,0,0.7853982,10,1080,0,1,0
d,10,2,0,0,0,1.374447,10,1080,0,1,0
d,10,3,6,0,0,1.963495,10,1080,0,1,0
d,10,4,7,0,0,2.552544,10,1080,0,1,0
d,10,5,4,0,0,3.141593,10,1080,0,1,0
d,10,6,3,0,0,3.730641,10,1080,0,1,0
d,10,7,9,0,0,4.31969,10,1080,0,1,0
d,10,8,2,0,0,4.908739,10,1080,0,1,0
d,10,9,8,0,0,5.497787,10,1080,0,1,0
d,10,0,1,204.9822,255.6631,0,10,1080,0,1,0
d,10,1,5,-226.4205,164.4325,0.7853982,10,1080,0,1,0
d,10,2,0,-77.91896,144.6185,1.374447,10,1080,0,1,0
d,10,3,6,528.8024,295.0516,1.963495,10,1080,0,1,0
d,10,4,7,-214.7293,361.0905,2.552544,10,1080,0,1,0
d,10,5,4,155.5735,-391.3552,3.141593,10,1080,0,1,0
d,10,6,3,539.0632,-492.7101,3.730641,10,1080,0,1,0
d,10,7,9,485.9022,190.3498,4.31969,10,1080,0,1,0
d,10,8,2,-63.01971,500.9712,4.908739,10,1080,0,1,0
d,10,9,8,338.4891,-110.0463,5.497787,10,1080,0,1,0
d,10,0,1,204.9822,255.6631,0,10,1080,0,1,0.02000046
d,10,1,5,-226.4205,164.4325,0.7853982,10,1080,0,1,0.02000046
d,10,2,0,-77.91896,144.6185,1.374447,10,1080,0,1,0.02000046
d,10,3,6,528.8024,295.0516,1.963495,10,1080,0,1,0.02000046
d,10,4,7,-214.7293,361.0905,2.552544,10,1080,0,1,0.02000046
d,10,5,4,155.5735,-391.3552,3.141593,10,1080,0,1,0.02000046
d,10,6,3,539.0632,-492.7101,3.730641,10,1080,0,1,0.02000046
d,10,7,9,485.9022,190.3498,4.31969,10,1080,0,1,0.02000046
d,10,8,2,-63.01971,500.9712,4.908739,10,1080,0,1,0.02000046
d,10,9,8,338.4891,-110.0463,5.497787,10,1080,0,1,0.02000046
d,10,0,1,204.9822,255.6631,0,10,1080,0,1,0.02399063
d,10,1,5,-226.4205,164.4325,0.7853982,10,1080,0,1,0.02399063
d,10,2,0,-77.91896,144.6185,1.374447,10,1080,0,1,0.02399063
d,10,3,6,528.8024,295.0516,1.963495,10,1080,0,1,0.02399063
d,10,4,7,-214.7293,361.0905,2.552544,10,1080,0,1,0.02399063
d,10,5,4,155.5735,-391.3552,3.141593,10,1080,0,1,0.02399063
d,10,6,3,539.0632,-492.7101,3.730641,10,1080,0,1,0.02399063
d,10,7,9,485.9022,190.3498,4.31969,10,1080,0,1,0.02399063
d,10,8,2,-63.01971,500.9712,4.908739,10,1080,0,1,0.02399063
d,10,9,8,338.4891,-110.0463,5.497787,10,1080,0,1,0.02399063
d,10,0,1,204.9822,255.6631,0,10,1080,0,1,0.03268814
d,10,1,5,-226.4205,164.4325,0.7853982,10,1080,0,1,0.03268814
d,10,2,0,-77.91896,144.6185,1.374447,10,1080,0,1,0.03268814
d,10,3,6,528.8024,295.0516,1.963495,10,1080,0,1,0.03268814
d,10,4,7,-214.7293,361.0905,2.552544,10,1080,0,1,0.03268814
