username,cursornum,primary_id,cursor_id,x,y,rotated_angle,time
o,5,0,3,0,0,0,0
o,5,1,4,0,0,0.7853982,0
o,5,2,1,0,0,2.356194,0
o,5,3,0,0,0,3.926991,0
o,5,4,2,0,0,5.497787,0
o,5,0,3,304.5175,-152.119,0,0
o,5,1,4,396.2772,-465.8303,0.7853982,0
o,5,2,1,146.32,-164.4641,2.356194,0
o,5,3,0,-467.2488,451.3891,3.926991,0
o,5,4,2,438.6945,211.7855,5.497787,0
o,5,0,3,304.5175,-152.119,0,0.02000046
o,5,1,4,396.2772,-465.8303,0.7853982,0.02000046
o,5,2,1,146.32,-164.4641,2.356194,0.02000046
o,5,3,0,-467.2488,451.3891,3.926991,0.02000046
o,5,4,2,438.6945,211.7855,5.497787,0.02000046
o,5,0,3,304.5175,-152.119,0,0.02402496
o,5,1,4,396.2772,-465.8303,0.7853982,0.02402496
o,5,2,1,146.32,-164.4641,2.356194,0.02402496
o,5,3,0,-467.2488,451.3891,3.926991,0.02402496
o,5,4,2,438.6945,211.7855,5.497787,0.02402496
o,5,0,3,304.5175,-152.119,0,0.02762985
o,5,1,4,396.2772,-465.8303,0.7853982,0.02762985
o,5,2,1,146.32,-164.4641,2.356194,0.02762985
o,5,3,0,-467.2488,451.3891,3.926991,0.02762985
o,5,4,2,438.6945,211.7855,5.497787,0.02762985
o,5,0,3,304.5175,-152.119,0,0.03172684
o,5,1,4,396.2772,-465.8303,0.7853982,0.03172684
o,5,2,1,146.32,-164.4641,2.356194,0.03172684
o,5,3,0,-467.2488,451.3891,3.926991,0.03172684
o,5,4,2,438.6945,211.7855,5.497787,0.03172684
o,5,0,3,304.5175,-152.119,0,0.03572464
o,5,1,4,396.2772,-465.8303,0.7853982,0.03572464
o,5,2,1,146.32,-164.4641,2.356194,0.03572464
o,5,3,0,-467.2488,451.3891,3.926991,0.03572464
o,5,4,2,438.6945,211.7855,5.497787,0.03572464
o,5,0,3,304.5175,-152.119,0,0.05964279
o,5,1,4,396.2772,-465.8303,0.7853982,0.05964279
o,5,2,1,146.32,-164.4641,2.356194,0.05964279
o,5,3,0,-467.2488,451.3891,3.926991,0.05964279
o,5,4,2,438.6945,211.7855,5.497787,0.05964279
o,5,0,3,304.5175,-152.119,0,0.06778336
o,5,1,4,396.2772,-465.8303,0.7853982,0.06778336
o,5,2,1,146.32,-164.4641,2.356194,0.06778336
o,5,3,0,-467.2488,451.3891,3.926991,0.06778336
o,5,4,2,438.6945,211.7855,5.497787,0.06778336
o,5,0,3,304.5175,-152.119,0,0.07584381
o,5,1,4,396.2772,-465.8303,0.7853982,0.07584381
o,5,2,1,146.32,-164.4641,2.356194,0.07584381
o,5,3,0,-467.2488,451.3891,3.926991,0.07584381
o,5,4,2,438.6945,211.7855,5.497787,0.07584381
o,5,0,3,304.5175,-152.119,0,0.0839119
o,5,1,4,396.2772,-465.8303,0.7853982,0.0839119
o,5,2,1,146.32,-164.4641,2.356194,0.0839119
o,5,3,0,-467.2488,451.3891,3.926991,0.0839119
o,5,4,2,438.6945,211.7855,5.497787,0.0839119
o,5,0,3,304.5175,-152.119,0,0.0917511
o,5,1,4,396.2772,-465.8303,0.7853982,0.0917511
o,5,2,1,146.32,-164.4641,2.356194,0.0917511
o,5,3,0,-467.2488,451.3891,3.926991,0.0917511
o,5,4,2,438.6945,211.7855,5.497787,0.0917511
o,5,0,3,304.5175,-152.119,0,0.09549332
o,5,1,4,396.2772,-465.8303,0.7853982,0.09549332
o,5,2,1,146.32,-164.4641,2.356194,0.09549332
o,5,3,0,-467.2488,451.3891,3.926991,0.09549332
o,5,4,2,438.6945,211.7855,5.497787,0.09549332
o,5,0,3,304.5175,-152.119,0,0.1037178
o,5,1,4,396.2772,-465.8303,0.7853982,0.1037178
o,5,2,1,146.32,-164.4641,2.356194,0.1037178
o,5,3,0,-467.2488,451.3891,3.926991,0.1037178
o,5,4,2,438.6945,211.7855,5.497787,0.1037178
o,5,0,3,304.5175,-152.119,0,0.1117058
o,5,1,4,396.2772,-465.8303,0.7853982,0.1117058
o,5,2,1,146.32,-164.4641,2.356194,0.1117058
o,5,3,0,-467.2488,451.3891,3.926991,0.1117058
o,5,4,2,438.6945,211.7855,5.497787,0.1117058
o,5,0,3,304.5175,-152.119,0,0.1198578
o,5,1,4,396.2772,-465.8303,0.7853982,0.1198578
o,5,2,1,146.32,-164.4641,2.356194,0.1198578
o,5,3,0,-467.2488,451.3891,3.926991,0.1198578
o,5,4,2,438.6945,211.7855,5.497787,0.1198578
o,5,0,3,304.5175,-152.119,0,0.1279793
o,5,1,4,396.2772,-465.8303,0.7853982,0.1279793
o,5,2,1,146.32,-164.4641,2.356194,0.1279793
o,5,3,0,-467.2488,451.3891,3.926991,0.1279793
o,5,4,2,438.6945,211.7855,5.497787,0.1279793
o,5,0,3,304.5175,-152.119,0,0.1359253
o,5,1,4,396.2772,-465.8303,0.7853982,0.1359253
o,5,2,1,146.32,-164.4641,2.356194,0.1359253
o,5,3,0,-467.2488,451.3891,3.926991,0.1359253
o,5,4,2,438.6945,211.7855,5.497787,0.1359253
o,5,0,3,304.5175,-152.119,0,0.1397438
o,5,1,4,396.2772,-465.8303,0.7853982,0.1397438
o,5,2,1,146.32,-164.4641,2.356194,0.1397438
o,5,3,0,-467.2488,451.3891,3.926991,0.1397438
o,5,4,2,438.6945,211.7855,5.497787,0.1397438
o,5,0,3,304.5175,-152.119,0,0.1517105
o,5,1,4,396.2772,-465.8303,0.7853982,0.1517105
o,5,2,1,146.32,-164.4641,2.356194,0.1517105
o,5,3,0,-467.2488,451.3891,3.926991,0.1517105
o,5,4,2,438.6945,211.7855,5.497787,0.1517105
o,5,0,3,304.5175,-152.119,0,0.1597176
o,5,1,4,396.2772,-465.8303,0.7853982,0.1597176
o,5,2,1,146.32,-164.4641,2.356194,0.1597176
o,5,3,0,-467.2488,451.3891,3.926991,0.1597176
o,5,4,2,438.6945,211.7855,5.497787,0.1597176
o,5,0,3,304.5175,-152.119,0,0.1637115
o,5,1,4,396.2772,-465.8303,0.7853982,0.1637115
o,5,2,1,146.32,-164.4641,2.356194,0.1637115
o,5,3,0,-467.2488,451.3891,3.926991,0.1637115
o,5,4,2,438.6945,211.7855,5.497787,0.1637115
o,5,0,3,304.5175,-152.119,0,0.1717796
o,5,1,4,396.2772,-465.8303,0.7853982,0.1717796
o,5,2,1,146.32,-164.4641,2.356194,0.1717796
o,5,3,0,-467.2488,451.3891,3.926991,0.1717796
o,5,4,2,438.6945,211.7855,5.497787,0.1717796
o,5,0,3,304.5175,-152.119,0,0.1797676
o,5,1,4,396.2772,-465.8303,0.7853982,0.1797676
o,5,2,1,146.32,-164.4641,2.356194,0.1797676
o,5,3,0,-467.2488,451.3891,3.926991,0.1797676
o,5,4,2,438.6945,211.7855,5.497787,0.1797676
o,5,0,3,304.5175,-152.119,0,0.1875687
o,5,1,4,396.2772,-465.8303,0.7853982,0.1875687
o,5,2,1,146.32,-164.4641,2.356194,0.1875687
o,5,3,0,-467.2488,451.3891,3.926991,0.1875687
o,5,4,2,438.6945,211.7855,5.497787,0.1875687
o,5,0,3,304.5175,-152.119,0,0.1959763
o,5,1,4,396.2772,-465.8303,0.7853982,0.1959763
o,5,2,1,146.32,-164.4641,2.356194,0.1959763
o,5,3,0,-467.2488,451.3891,3.926991,0.1959763
o,5,4,2,438.6945,211.7855,5.497787,0.1959763
o,5,0,3,304.5175,-152.119,0,0.1994667
o,5,1,4,396.2772,-465.8303,0.7853982,0.1994667
o,5,2,1,146.32,-164.4641,2.356194,0.1994667
o,5,3,0,-467.2488,451.3891,3.926991,0.1994667
o,5,4,2,438.6945,211.7855,5.497787,0.1994667
o,5,0,3,304.5175,-152.119,0,0.2075691
o,5,1,4,396.2772,-465.8303,0.7853982,0.2075691
o,5,2,1,146.32,-164.4641,2.356194,0.2075691
o,5,3,0,-467.2488,451.3891,3.926991,0.2075691
o,5,4,2,438.6945,211.7855,5.497787,0.2075691
o,5,0,3,304.5175,-152.119,0,0.2156601
o,5,1,4,396.2772,-465.8303,0.7853982,0.2156601
o,5,2,1,146.32,-164.4641,2.356194,0.2156601
o,5,3,0,-467.2488,451.3891,3.926991,0.2156601
o,5,4,2,438.6945,211.7855,5.497787,0.2156601
o,5,0,3,304.5175,-152.119,0,0.2240486
o,5,1,4,396.2772,-465.8303,0.7853982,0.2240486
o,5,2,1,146.32,-164.4641,2.356194,0.2240486
o,5,3,0,-467.2488,451.3891,3.926991,0.2240486
o,5,4,2,438.6945,211.7855,5.497787,0.2240486
o,5,0,3,304.5175,-152.119,0,0.2317085
o,5,1,4,396.2772,-465.8303,0.7853982,0.2317085
o,5,2,1,146.32,-164.4641,2.356194,0.2317085
o,5,3,0,-467.2488,451.3891,3.926991,0.2317085
o,5,4,2,438.6945,211.7855,5.497787,0.2317085
o,5,0,3,304.5175,-152.119,0,0.241066
o,5,1,4,396.2772,-465.8303,0.7853982,0.241066
o,5,2,1,146.32,-164.4641,2.356194,0.241066
