username,cursornum,primary_id,cursor_id,x,y,rotated_angle,time
o,2,0,1,0,0,0,0
o,2,1,0,0,0,NaN,0
o,2,0,1,-29.6544,-147.5712,0,0
o,2,1,0,-183.9377,-434.9301,NaN,0
o,2,0,1,-29.6544,-147.5712,0,0.02000046
o,2,1,0,-183.9377,-434.9301,NaN,0.02000046
o,2,0,1,-29.6544,-147.5712,0,0.02991104
o,2,1,0,-183.9377,-434.9301,NaN,0.02991104
o,2,0,1,-29.6544,-147.5712,0,0.03368759
o,2,1,0,-183.9377,-434.9301,NaN,0.03368759
o,2,0,1,-29.6544,-147.5712,0,0.04213715
o,2,1,0,-183.9377,-434.9301,NaN,0.04213715
o,2,0,1,-29.6544,-147.5712,0,0.04947281
o,2,1,0,-183.9377,-434.9301,NaN,0.04947281
o,2,0,1,-29.6544,-147.5712,0,0.06813049
o,2,1,0,-183.9377,-434.9301,NaN,0.06813049
