username,cursornum,primary_id,cursor_id,x,y,rotated_angle,time
o,5,0,4,0,0,0,0
o,5,1,2,0,0,0.7853982,0
o,5,2,1,0,0,2.356194,0
o,5,3,0,0,0,3.926991,0
o,5,4,3,0,0,5.497787,0
o,5,0,4,-140.874,-164.2801,0,0
o,5,1,2,-234.6578,-243.5925,0.7853982,0
o,5,2,1,221.4557,212.8292,2.356194,0
o,5,3,0,-215.3974,7.104828,3.926991,0
o,5,4,3,-7.286407,224.1012,5.497787,0
o,5,0,4,-140.874,-164.2801,0,0.02000046
o,5,1,2,-234.6578,-243.5925,0.7853982,0.02000046
o,5,2,1,221.4557,212.8292,2.356194,0.02000046
o,5,3,0,-215.3974,7.104828,3.926991,0.02000046
o,5,4,3,-7.286407,224.1012,5.497787,0.02000046
o,5,0,4,-140.874,-164.2801,0,0.02879143
o,5,1,2,-234.6578,-243.5925,0.7853982,0.02879143
o,5,2,1,221.4557,212.8292,2.356194,0.02879143
o,5,3,0,-215.3974,7.104828,3.926991,0.02879143
o,5,4,3,-7.286407,224.1012,5.497787,0.02879143
o,5,0,4,-140.874,-164.2801,0,0.03614235
o,5,1,2,-234.6578,-243.5925,0.7853982,0.03614235
o,5,2,1,221.4557,212.8292,2.356194,0.03614235
o,5,3,0,-215.3974,7.104828,3.926991,0.03614235
o,5,4,3,-7.286407,224.1012,5.497787,0.03614235
o,5,0,4,-140.874,-164.2801,0,0.03994942
o,5,1,2,-234.6578,-243.5925,0.7853982,0.03994942
o,5,2,1,221.4557,212.8292,2.356194,0.03994942
o,5,3,0,-215.3974,7.104828,3.926991,0.03994942
o,5,4,3,-7.286407,224.1012,5.497787,0.03994942
o,5,0,4,-140.874,-164.2801,0,0.04385185
o,5,1,2,-234.6578,-243.5925,0.7853982,0.04385185
o,5,2,1,221.4557,212.8292,2.356194,0.04385185
o,5,3,0,-215.3974,7.104828,3.926991,0.04385185
o,5,4,3,-7.286407,224.1012,5.497787,0.04385185
o,5,0,4,-140.874,-164.2801,0,0.064394
o,5,1,2,-234.6578,-243.5925,0.7853982,0.064394
o,5,2,1,221.4557,212.8292,2.356194,0.064394
o,5,3,0,-215.3974,7.104828,3.926991,0.064394
o,5,4,3,-7.286407,224.1012,5.497787,0.064394
o,5,0,4,-140.874,-164.2801,0,0.06785965
o,5,1,2,-234.6578,-243.5925,0.7853982,0.06785965
o,5,2,1,221.4557,212.8292,2.356194,0.06785965
o,5,3,0,-215.3974,7.104828,3.926991,0.06785965
o,5,4,3,-7.286407,224.1012,5.497787,0.06785965
o,5,0,4,-140.874,-164.2801,0,0.07618332
o,5,1,2,-234.6578,-243.5925,0.7853982,0.07618332
o,5,2,1,221.4557,212.8292,2.356194,0.07618332
o,5,3,0,-215.3974,7.104828,3.926991,0.07618332
o,5,4,3,-7.286407,224.1012,5.497787,0.07618332
o,5,0,4,-140.874,-164.2801,0,0.08018684
o,5,1,2,-234.6578,-243.5925,0.7853982,0.08018684
o,5,2,1,221.4557,212.8292,2.356194,0.08018684
o,5,3,0,-215.3974,7.104828,3.926991,0.08018684
o,5,4,3,-7.286407,224.1012,5.497787,0.08018684
o,5,0,4,-140.874,-164.2801,0,0.08406258
o,5,1,2,-234.6578,-243.5925,0.7853982,0.08406258
o,5,2,1,221.4557,212.8292,2.356194,0.08406258
o,5,3,0,-215.3974,7.104828,3.926991,0.08406258
o,5,4,3,-7.286407,224.1012,5.497787,0.08406258
o,5,0,4,-140.874,-164.2801,0,0.08800888
o,5,1,2,-234.6578,-243.5925,0.7853982,0.08800888
o,5,2,1,221.4557,212.8292,2.356194,0.08800888
o,5,3,0,-215.3974,7.104828,3.926991,0.08800888
o,5,4,3,-7.286407,224.1012,5.497787,0.08800888
o,5,0,4,-140.874,-164.2801,0,0.09640121
o,5,1,2,-234.6578,-243.5925,0.7853982,0.09640121
o,5,2,1,221.4557,212.8292,2.356194,0.09640121
o,5,3,0,-215.3974,7.104828,3.926991,0.09640121
o,5,4,3,-7.286407,224.1012,5.497787,0.09640121
o,5,0,4,-140.874,-164.2801,0,0.1002045
o,5,1,2,-234.6578,-243.5925,0.7853982,0.1002045
o,5,2,1,221.4557,212.8292,2.356194,0.1002045
o,5,3,0,-215.3974,7.104828,3.926991,0.1002045
o,5,4,3,-7.286407,224.1012,5.497787,0.1002045
o,5,0,4,-140.874,-164.2801,0,0.1040268
o,5,1,2,-234.6578,-243.5925,0.7853982,0.1040268
o,5,2,1,221.4557,212.8292,2.356194,0.1040268
o,5,3,0,-215.3974,7.104828,3.926991,0.1040268
o,5,4,3,-7.286407,224.1012,5.497787,0.1040268
o,5,0,4,-140.874,-164.2801,0,0.1079826
o,5,1,2,-234.6578,-243.5925,0.7853982,0.1079826
o,5,2,1,221.4557,212.8292,2.356194,0.1079826
o,5,3,0,-215.3974,7.104828,3.926991,0.1079826
