username,cursornum,primary_id,cursor_id,x,y,rotated_angle,diameter,window_size,delay,speed_rate,time
kyon,10,0,4,0,0,0,10,1080,0,1,0
kyon,10,1,5,0,0,0.7853982,10,1080,0,1,0
kyon,10,2,6,0,0,1.374447,10,1080,0,1,0
kyon,10,3,8,0,0,1.963495,10,1080,0,1,0
kyon,10,4,1,0,0,2.552544,10,1080,0,1,0
kyon,10,5,0,0,0,3.141593,10,1080,0,1,0
kyon,10,6,7,0,0,3.730641,10,1080,0,1,0
kyon,10,7,9,0,0,4.31969,10,1080,0,1,0
kyon,10,8,3,0,0,4.908739,10,1080,0,1,0
kyon,10,9,2,0,0,5.497787,10,1080,0,1,0
kyon,10,0,4,-412.5851,-497.5719,0,10,1080,0,1,0
kyon,10,1,5,259.0983,50.84343,0.7853982,10,1080,0,1,0
kyon,10,2,6,-277.2321,-380.0288,1.374447,10,1080,0,1,0
kyon,10,3,8,278.1953,430.6725,1.963495,10,1080,0,1,0
kyon,10,4,1,481.1432,-169.4899,2.552544,10,1080,0,1,0
kyon,10,5,0,460.5217,180.7906,3.141593,10,1080,0,1,0
kyon,10,6,7,504.2745,-534.684,3.730641,10,1080,0,1,0
kyon,10,7,9,252.567,448.9212,4.31969,10,1080,0,1,0
kyon,10,8,3,-178.7382,300.5885,4.908739,10,1080,0,1,0
kyon,10,9,2,274.0002,57.34253,5.497787,10,1080,0,1,0
kyon,10,0,4,-412.5851,-497.5719,0,10,1080,0,1,0.02000046
kyon,10,1,5,259.0983,50.84343,0.7853982,10,1080,0,1,0.02000046
kyon,10,2,6,-277.2321,-380.0288,1.374447,10,1080,0,1,0.02000046
kyon,10,3,8,278.1953,430.6725,1.963495,10,1080,0,1,0.02000046
kyon,10,4,1,481.1432,-169.4899,2.552544,10,1080,0,1,0.02000046
kyon,10,5,0,460.5217,180.7906,3.141593,10,1080,0,1,0.02000046
kyon,10,6,7,504.2745,-534.684,3.730641,10,1080,0,1,0.02000046
kyon,10,7,9,252.567,448.9212,4.31969,10,1080,0,1,0.02000046
kyon,10,8,3,-178.7382,300.5885,4.908739,10,1080,0,1,0.02000046
kyon,10,9,2,274.0002,57.34253,5.497787,10,1080,0,1,0.02000046
kyon,10,0,4,-412.5851,-497.5719,0,10,1080,0,1,0.02710724
kyon,10,1,5,259.0983,50.84343,0.7853982,10,1080,0,1,0.02710724
kyon,10,2,6,-277.2321,-380.0288,1.374447,10,1080,0,1,0.02710724
kyon,10,3,8,278.1953,430.6725,1.963495,10,1080,0,1,0.02710724
kyon,10,4,1,481.1432,-169.4899,2.552544,10,1080,0,1,0.02710724
kyon,10,5,0,460.5217,180.7906,3.141593,10,1080,0,1,0.02710724
kyon,10,6,7,504.2745,-534.684,3.730641,10,1080,0,1,0.02710724
kyon,10,7,9,252.567,448.9212,4.31969,10,1080,0,1,0.02710724
kyon,10,8,3,-178.7382,300.5885,4.908739,10,1080,0,1,0.02710724
kyon,10,9,2,274.0002,57.34253,5.497787,10,1080,0,1,0.02710724
kyon,10,0,4,-412.5851,-497.5719,0,10,1080,0,1,0.03487778
kyon,10,1,5,259.0983,50.84343,0.7853982,10,1080,0,1,0.03487778
kyon,10,2,6,-277.2321,-380.0288,1.374447,10,1080,0,1,0.03487778
kyon,10,3,8,278.1953,430.6725,1.963495,10,1080,0,1,0.03487778
kyon,10,4,1,481.1432,-169.4899,2.552544,10,1080,0,1,0.03487778
kyon,10,5,0,460.5217,180.7906,3.141593,10,1080,0,1,0.03487778
kyon,10,6,7,504.2745,-534.684,3.730641,10,1080,0,1,0.03487778
kyon,10,7,9,252.567,448.9212,4.31969,10,1080,0,1,0.03487778
kyon,10,8,3,-178.7382,300.5885,4.908739,10,1080,0,1,0.03487778
kyon,10,9,2,274.0002,57.34253,5.497787,10,1080,0,1,0.03487778
kyon,10,0,4,-412.5851,-497.5719,0,10,1080,0,1,0.05123138
kyon,10,1,5,259.0983,50.84343,0.7853982,10,1080,0,1,0.05123138
kyon,10,2,6,-277.2321,-380.0288,1.374447,10,1080,0,1,0.05123138
kyon,10,3,8,278.1953,430.6725,1.963495,10,1080,0,1,0.05123138
kyon,10,4,1,481.1432,-169.4899,2.552544,10,1080,0,1,0.05123138
kyon,10,5,0,460.5217,180.7906,3.141593,10,1080,0,1,0.05123138
kyon,10,6,7,504.2745,-534.684,3.730641,10,1080,0,1,0.05123138
kyon,10,7,9,252.567,448.9212,4.31969,10,1080,0,1,0.05123138
kyon,10,8,3,-178.7382,300.5885,4.908739,10,1080,0,1,0.05123138
kyon,10,9,2,274.0002,57.34253,5.497787,10,1080,0,1,0.05123138
kyon,10,0,4,-412.5851,-497.5719,0,10,1080,0,1,0.05895233
kyon,10,1,5,259.0983,50.84343,0.7853982,10,1080,0,1,0.05895233
kyon,10,2,6,-277.2321,-380.0288,1.374447,10,1080,0,1,0.05895233
kyon,10,3,8,278.1953,430.6725,1.963495,10,1080,0,1,0.05895233
kyon,10,4,1,481.1432,-169.4899,2.552544,10,1080,0,1,0.05895233
kyon,10,5,0,460.5217,180.7906,3.141593,10,1080,0,1,0.05895233
kyon,10,6,7,504.2745,-534.684,3.730641,10,1080,0,1,0.05895233
kyon,10,7,9,252.567,448.9212,4.31969,10,1080,0,1,0.05895233
kyon,10,8,3,-178.7382,300.5885,4.908739,10,1080,0,1,0.05895233
kyon,10,9,2,274.0002,57.34253,5.497787,10,1080,0,1,0.05895233
kyon,10,0,4,-412.5851,-497.5719,0,10,1080,0,1,0.06724167
kyon,10,1,5,259.0983,50.84343,0.7853982,10,1080,0,1,0.06724167
kyon,10,2,6,-277.2321,-380.0288,1.374447,10,1080,0,1,0.06724167
kyon,10,3,8,278.1953,430.6725,1.963495,10,1080,0,1,0.06724167
kyon,10,4,1,481.1432,-169.4899,2.552544,10,1080,0,1,0.06724167
kyon,10,5,0,460.5217,180.7906,3.141593,10,1080,0,1,0.06724167
kyon,10,6,7,504.2745,-534.684,3.730641,10,1080,0,1,0.06724167
kyon,10,7,9,252.567,448.9212,4.31969,10,1080,0,1,0.06724167
kyon,10,8,3,-178.7382,300.5885,4.908739,10,1080,0,1,0.06724167
kyon,10,9,2,274.0002,57.34253,5.497787,10,1080,0,1,0.06724167
kyon,10,0,4,-412.5851,-497.5719,0,10,1080,0,1,0.07525635
kyon,10,1,5,259.0983,50.84343,0.7853982,10,1080,0,1,0.07525635
kyon,10,2,6,-277.2321,-380.0288,1.374447,10,1080,0,1,0.07525635
kyon,10,3,8,278.1953,430.6725,1.963495,10,1080,0,1,0.07525635
kyon,10,4,1,481.1432,-169.4899,2.552544,10,1080,0,1,0.07525635
kyon,10,5,0,460.5217,180.7906,3.141593,10,1080,0,1,0.07525635
kyon,10,6,7,504.2745,-534.684,3.730641,10,1080,0,1,0.07525635
kyon,10,7,9,252.567,448.9212,4.31969,10,1080,0,1,0.07525635
kyon,10,8,3,-178.7382,300.5885,4.908739,10,1080,0,1,0.07525635
kyon,10,9,2,274.0002,57.34253,5.497787,10,1080,0,1,0.07525635
kyon,10,0,4,-412.5851,-497.5719,0,10,1080,0,1,0.07908249
kyon,10,1,5,259.0983,50.84343,0.7853982,10,1080,0,1,0.07908249
kyon,10,2,6,-277.2321,-380.0288,1.374447,10,1080,0,1,0.07908249
kyon,10,3,8,278.1953,430.6725,1.963495,10,1080,0,1,0.07908249
kyon,10,4,1,481.1432,-169.4899,2.552544,10,1080,0,1,0.07908249
kyon,10,5,0,460.5217,180.7906,3.141593,10,1080,0,1,0.07908249
kyon,10,6,7,504.2745,-534.684,3.730641,10,1080,0,1,0.07908249
kyon,10,7,9,252.567,448.9212,4.31969,10,1080,0,1,0.07908249
kyon,10,8,3,-178.7382,300.5885,4.908739,10,1080,0,1,0.07908249
kyon,10,9,2,274.0002,57.34253,5.497787,10,1080,0,1,0.07908249
kyon,10,0,4,-412.5851,-497.5719,0,10,1080,0,1,0.08292389
kyon,10,1,5,259.0983,50.84343,0.7853982,10,1080,0,1,0.08292389
kyon,10,2,6,-277.2321,-380.0288,1.374447,10,1080,0,1,0.08292389
kyon,10,3,8,278.1953,430.6725,1.963495,10,1080,0,1,0.08292389
kyon,10,4,1,481.1432,-169.4899,2.552544,10,1080,0,1,0.08292389
kyon,10,5,0,460.5217,180.7906,3.141593,10,1080,0,1,0.08292389
kyon,10,6,7,504.2745,-534.684,3.730641,10,1080,0,1,0.08292389
kyon,10,7,9,252.567,448.9212,4.31969,10,1080,0,1,0.08292389
kyon,10,8,3,-178.7382,300.5885,4.908739,10,1080,0,1,0.08292389
kyon,10,9,2,274.0002,57.34253,5.497787,10,1080,0,1,0.08292389
kyon,10,0,4,-412.5851,-497.5719,0,10,1080,0,1,0.09123611
kyon,10,1,5,259.0983,50.84343,0.7853982,10,1080,0,1,0.09123611
kyon,10,2,6,-277.2321,-380.0288,1.374447,10,1080,0,1,0.09123611
kyon,10,3,8,278.1953,430.6725,1.963495,10,1080,0,1,0.09123611
kyon,10,4,1,481.1432,-169.4899,2.552544,10,1080,0,1,0.09123611
kyon,10,5,0,460.5217,180.7906,3.141593,10,1080,0,1,0.09123611
kyon,10,6,7,504.2745,-534.684,3.730641,10,1080,0,1,0.09123611
kyon,10,7,9,252.567,448.9212,4.31969,10,1080,0,1,0.09123611
kyon,10,8,3,-178.7382,300.5885,4.908739,10,1080,0,1,0.09123611
kyon,10,9,2,274.0002,57.34253,5.497787,10,1080,0,1,0.09123611
kyon,10,0,4,-412.5851,-497.5719,0,10,1080,0,1,0.1011276
kyon,10,1,5,259.0983,50.84343,0.7853982,10,1080,0,1,0.1011276
kyon,10,2,6,-277.2321,-380.0288,1.374447,10,1080,0,1,0.1011276
kyon,10,3,8,278.1953,430.6725,1.963495,10,1080,0,1,0.1011276
kyon,10,4,1,481.1432,-169.4899,2.552544,10,1080,0,1,0.1011276
kyon,10,5,0,460.5217,180.7906,3.141593,10,1080,0,1,0.1011276
kyon,10,6,7,504.2745,-534.684,3.730641,10,1080,0,1,0.1011276
kyon,10,7,9,252.567,448.9212,4.31969,10,1080,0,1,0.1011276
kyon,10,8,3,-178.7382,300.5885,4.908739,10,1080,0,1,0.1011276
kyon,10,9,2,274.0002,57.34253,5.497787,10,1080,0,1,0.1011276
kyon,10,0,4,-412.5851,-497.5719,0,10,1080,0,1,0.1154022
kyon,10,1,5,259.0983,50.84343,0.7853982,10,1080,0,1,0.1154022
kyon,10,2,6,-277.2321,-380.0288,1.374447,10,1080,0,1,0.1154022
kyon,10,3,8,278.1953,430.6725,1.963495,10,1080,0,1,0.1154022
kyon,10,4,1,481.1432,-169.4899,2.552544,10,1080,0,1,0.1154022
kyon,10,5,0,460.5217,180.7906,3.141593,10,1080,0,1,0.1154022
kyon,10,6,7,504.2745,-534.684,3.730641,10,1080,0,1,0.1154022
kyon,10,7,9,252.567,448.9212,4.31969,10,1080,0,1,0.1154022
kyon,10,8,3,-178.7382,300.5885,4.908739,10,1080,0,1,0.1154022
kyon,10,9,2,274.0002,57.34253,5.497787,10,1080,0,1,0.1154022
kyon,10,0,4,-412.5851,-497.5719,0,10,1080,0,1,0.123806
kyon,10,1,5,259.0983,50.84343,0.7853982,10,1080,0,1,0.123806
kyon,10,2,6,-277.2321,-380.0288,1.374447,10,1080,0,1,0.123806
kyon,10,3,8,278.1953,430.6725,1.963495,10,1080,0,1,0.123806
kyon,10,4,1,481.1432,-169.4899,2.552544,10,1080,0,1,0.123806
kyon,10,5,0,460.5217,180.7906,3.141593,10,1080,0,1,0.123806
kyon,10,6,7,504.2745,-534.684,3.730641,10,1080,0,1,0.123806
kyon,10,7,9,252.567,448.9212,4.31969,10,1080,0,1,0.123806
kyon,10,8,3,-178.7382,300.5885,4.908739,10,1080,0,1,0.123806
kyon,10,9,2,274.0002,57.34253,5.497787,10,1080,0,1,0.123806
kyon,10,0,4,-412.5851,-497.5719,0,10,1080,0,1,0.13134
kyon,10,1,5,259.0983,50.84343,0.7853982,10,1080,0,1,0.13134
kyon,10,2,6,-277.2321,-380.0288,1.374447,10,1080,0,1,0.13134
kyon,10,3,8,278.1953,430.6725,1.963495,10,1080,0,1,0.13134
kyon,10,4,1,481.1432,-169.4899,2.552544,10,1080,0,1,0.13134
kyon,10,5,0,460.5217,180.7906,3.141593,10,1080,0,1,0.13134
kyon,10,6,7,504.2745,-534.684,3.730641,10,1080,0,1,0.13134
kyon,10,7,9,252.567,448.9212,4.31969,10,1080,0,1,0.13134
kyon,10,8,3,-178.7382,300.5885,4.908739,10,1080,0,1,0.13134
kyon,10,9,2,274.0002,57.34253,5.497787,10,1080,0,1,0.13134
