username,cursornum,primary_id,cursor_id,x,y,rotated_angle,diameter,window_size,delay,speed_rate,time
kyon,10,0,7,0,0,0,10,1080,0,1,0
kyon,10,1,6,0,0,0.7853982,10,1080,0,1,0
kyon,10,2,0,0,0,1.374447,10,1080,0,1,0
kyon,10,3,2,0,0,1.963495,10,1080,0,1,0
kyon,10,4,4,0,0,2.552544,10,1080,0,1,0
kyon,10,5,5,0,0,3.141593,10,1080,0,1,0
kyon,10,6,3,0,0,3.730641,10,1080,0,1,0
kyon,10,7,1,0,0,4.31969,10,1080,0,1,0
kyon,10,8,8,0,0,4.908739,10,1080,0,1,0
kyon,10,9,9,0,0,5.497787,10,1080,0,1,0
kyon,10,0,7,335.3707,-536.6768,0,10,1080,0,1,0
kyon,10,1,6,-352.0344,405.6276,0.7853982,10,1080,0,1,0
kyon,10,2,0,-357.7811,408.6211,1.374447,10,1080,0,1,0
kyon,10,3,2,-399.3425,493.7971,1.963495,10,1080,0,1,0
kyon,10,4,4,519.1973,207.2425,2.552544,10,1080,0,1,0
kyon,10,5,5,323.0902,-423.6459,3.141593,10,1080,0,1,0
kyon,10,6,3,488.8787,-516.5316,3.730641,10,1080,0,1,0
kyon,10,7,1,366.8277,-393.5201,4.31969,10,1080,0,1,0
kyon,10,8,8,-229.4509,-200.8812,4.908739,10,1080,0,1,0
kyon,10,9,9,201.481,-454.5371,5.497787,10,1080,0,1,0
kyon,10,0,7,335.3707,-536.6768,0,10,1080,0,1,0.02000046
kyon,10,1,6,-352.0344,405.6276,0.7853982,10,1080,0,1,0.02000046
kyon,10,2,0,-357.7811,408.6211,1.374447,10,1080,0,1,0.02000046
kyon,10,3,2,-399.3425,493.7971,1.963495,10,1080,0,1,0.02000046
kyon,10,4,4,519.1973,207.2425,2.552544,10,1080,0,1,0.02000046
kyon,10,5,5,323.0902,-423.6459,3.141593,10,1080,0,1,0.02000046
kyon,10,6,3,488.8787,-516.5316,3.730641,10,1080,0,1,0.02000046
kyon,10,7,1,366.8277,-393.5201,4.31969,10,1080,0,1,0.02000046
kyon,10,8,8,-229.4509,-200.8812,4.908739,10,1080,0,1,0.02000046
kyon,10,9,9,201.481,-454.5371,5.497787,10,1080,0,1,0.02000046
kyon,10,0,7,335.3707,-536.6768,0,10,1080,0,1,0.02859497
kyon,10,1,6,-352.0344,405.6276,0.7853982,10,1080,0,1,0.02859497
kyon,10,2,0,-357.7811,408.6211,1.374447,10,1080,0,1,0.02859497
kyon,10,3,2,-399.3425,493.7971,1.963495,10,1080,0,1,0.02859497
kyon,10,4,4,519.1973,207.2425,2.552544,10,1080,0,1,0.02859497
kyon,10,5,5,323.0902,-423.6459,3.141593,10,1080,0,1,0.02859497
kyon,10,6,3,488.8787,-516.5316,3.730641,10,1080,0,1,0.02859497
kyon,10,7,1,366.8277,-393.5201,4.31969,10,1080,0,1,0.02859497
